Assigned to,animation_url,image,Moto Name,Top Chassis,Side Cart,Pattern,Color,Number Plate,Top Chassis is Correct?,Side Cart in Metadata is Correct?,Pattern # is Correct?,Color # is Correct?,Number Plate is Correct?,Any Other Animation Issues?,Any Other Image Issues?
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_C2ST0S6OO670F.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_C2ST0S6OO670F.jpeg,Moto,Exotic,None,Pattern 1,Color 0,WW-282,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_K5EQ568BNZZWG.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_K5EQ568BNZZWG.jpeg,Moto,Exotic,None,Pattern 2,Color 0,WW-283,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_C4R38ANCNTPH7.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_C4R38ANCNTPH7.jpeg,Moto,Exotic,None,Pattern 5,Color 1,WW-284,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_LACE3ECKE564P.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_LACE3ECKE564P.jpeg,Moto,Exotic,None,Pattern 3,Color 1,WW-285,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_BOCMN3ANR0FZO.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_BOCMN3ANR0FZO.jpeg,Moto,Exotic,None,Pattern 5,Color 8,WW-286,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_QDEOFJ3UOI1IK.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_QDEOFJ3UOI1IK.jpeg,Moto,Exotic,Side Cart,Pattern 3,Color 0,WW-287,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_R5FDD3ZQI4FBG.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_R5FDD3ZQI4FBG.jpeg,Moto,Exotic,None,Pattern 0,Color 0,WW-288,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_D9ADG8QPCQWRB.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_D9ADG8QPCQWRB.jpeg,Moto,Exotic,None,Pattern 5,Color 0,WW-289,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_H6LCMFNN2YFJE.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_H6LCMFNN2YFJE.jpeg,Moto,Exotic,Side Cart,Pattern 0,Color 13,WW-290,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_8YFSZYQ1Q3I9J.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_8YFSZYQ1Q3I9J.jpeg,Moto,Exotic,None,Pattern 8,Color 1,WW-291,,,,,,,
